student_pk,person_uid,profile_academic_year,profile_academic_year_desc,profile_academic_period_desc,profile_college,profile_college_desc,profile_residence,profile_residence_desc,profile_high_school_percentile,profile_highest_sat_math,profile_highest_sat_writing,profile_highest_sat_crit_read,profile_highest_act_english,profile_highest_act_math,profile_highest_act_reading,profile_highest_act_sci_reason,profile_highest_act_composite,profile_highest_act_englwrit
5283,1508902,2016,Academic Year 2015-2016,Fall 2015,ME,School of Mechanical Engr,N,Non-Resident,,640,620,690,,,,,,
6812,1550207,2016,Academic Year 2015-2016,Fall 2015,HH,College of Health & Human Sci,N,Non-Resident,90,560,550,500,,,,,,
5753,1512077,2016,Academic Year 2015-2016,Fall 2015,S,College of Science,N,Non-Resident,,640,560,650,,,,,,
3135,1504076,2016,Academic Year 2015-2016,Fall 2015,E,First Year Engineering,N,Non-Resident,,,,,21,29,24,26,25,21
2490,1388673,2016,Academic Year 2015-2016,Fall 2015,S,College of Science,R,Resident,83,640,600,600,29,27,27,28,27,25
5096,1499741,2016,Academic Year 2015-2016,Fall 2015,A,College of Agriculture,R,Resident,,480,510,510,26,23,24,25,23,25
3875,1494314,2016,Academic Year 2015-2016,Fall 2015,EV,Div of Environ & Ecol Engr,R,Resident,80,570,570,540,27,26,25,27,26,26
801,1334245,2016,Academic Year 2015-2016,Fall 2015,US,Exploratory Studies,R,Resident,98,770,750,630,35,33,31,31,33,31
2992,1468426,2016,Academic Year 2015-2016,Fall 2015,AE,School of Aero and Astro Engr,N,Non-Resident,,740,640,670,,,,,,
5174,1497726,2016,Academic Year 2015-2016,Fall 2015,US,Exploratory Studies,R,Resident,,610,460,490,,,,,,
3186,1489145,2016,Academic Year 2015-2016,Fall 2015,HH,College of Health & Human Sci,R,Resident,85,540,650,630,,,,,,
1805,1469310,2016,Academic Year 2015-2016,Fall 2015,F,Forestry,R,Resident,53,500,440,520,,,,,,
4566,1461990,2016,Academic Year 2015-2016,Fall 2015,AE,School of Aero and Astro Engr,N,Non-Resident,,,,,29,32,36,31,32,26
469,1381257,2016,Academic Year 2015-2016,Fall 2015,E,First Year Engineering,R,Resident,,660,620,620,32,29,33,28,30,29
6257,1548556,2016,Academic Year 2015-2016,Fall 2015,EC,School of Elec & Computer Engr,F,Foreign,,,,,34,36,25,35,33,33
6577,1501452,2016,Academic Year 2015-2016,Fall 2015,S,College of Science,F,Foreign,,790,670,560,,,,,,
6485,1552686,2016,Academic Year 2015-2016,Fall 2015,A,College of Agriculture,F,Foreign,,600,440,460,,,,,,
1184,1460855,2016,Academic Year 2015-2016,Fall 2015,F,Forestry,R,Resident,67,550,510,620,24,24,32,24,26,23
6818,1541694,2016,Academic Year 2015-2016,Fall 2015,CE,School of Civil Engineering,N,Non-Resident,,,,,34,32,34,35,34,32
5152,1504574,2016,Academic Year 2015-2016,Fall 2015,PI,Polytechnic Institute,N,Non-Resident,59,600,590,540,21,25,24,29,25,21
4548,1492685,2016,Academic Year 2015-2016,Fall 2015,HH,College of Health & Human Sci,R,Resident,92,500,480,460,,,,,,
5463,1484904,2016,Academic Year 2015-2016,Fall 2015,S,College of Science,R,Resident,,770,690,720,,,,,,
2521,1511418,2016,Academic Year 2015-2016,Fall 2015,US,Exploratory Studies,F,Foreign,,,,,,,,,,
1739,1454843,2016,Academic Year 2015-2016,Fall 2015,HH,College of Health & Human Sci,N,Non-Resident,95,,,,34,29,32,30,30,32
1696,1477979,2016,Academic Year 2015-2016,Fall 2015,S,College of Science,N,Non-Resident,,570,520,530,22,28,20,23,23,20
3586,1506322,2016,Academic Year 2015-2016,Fall 2015,US,Exploratory Studies,N,Non-Resident,,670,730,650,,,,,,
1910,1440981,2016,Academic Year 2015-2016,Fall 2015,M,School of Management,R,Resident,94,670,610,650,,,,,,
4966,1512490,2016,Academic Year 2015-2016,Fall 2015,PI,Polytechnic Institute,R,Resident,96,720,680,800,,,,,,
1532,1472145,2016,Academic Year 2015-2016,Fall 2015,PP,Pre-Pharmacy,R,Resident,58,,,,23,25,26,26,24,23
3206,1307865,2016,Academic Year 2015-2016,Fall 2015,S,College of Science,R,Resident,100,,,,25,27,24,25,25,24
6193,1493362,2016,Academic Year 2015-2016,Fall 2015,M,School of Management,N,Non-Resident,99,,,,34,27,31,26,30,31
921,1416694,2016,Academic Year 2015-2016,Fall 2015,CN,Construction Engineering Mgmt,N,Non-Resident,,,,,29,30,33,35,32,28
680,1522474,2016,Fall 2015,Fall 2015,LA,College of Liberal Arts,N,Non-Resident,49,420,390,470,,,,,,
6233,1500758,2016,Fall 2015,Fall 2015,M,School of Management,N,Non-Resident,98,,,,24,27,26,23,25,24
5675,1532001,2016,Academic Year 2015-2016,Fall 2015,E,First Year Engineering,N,Non-Resident,86,560,530,560,21,26,28,31,26,
6470,1491286,2016,Academic Year 2015-2016,Fall 2015,HH,College of Health & Human Sci,R,Resident,97,550,480,550,,,,,,
354,1509357,2016,Academic Year 2015-2016,Fall 2015,CN,Construction Engineering Mgmt,N,Non-Resident,,650,600,650,30,30,33,32,30,29
5976,1548187,2016,Academic Year 2015-2016,Fall 2015,LA,College of Liberal Arts,F,Foreign,,,,,,,,,,
1265,1446956,2016,Academic Year 2015-2016,Fall 2015,PI,Polytechnic Institute,R,Resident,88,,,,23,28,27,24,26,22
1197,1392666,2016,Academic Year 2015-2016,Fall 2015,A,College of Agriculture,R,Resident,59,490,480,500,,,,,,
3072,1460513,2016,Academic Year 2015-2016,Fall 2015,PI,Polytechnic Institute,R,Resident,70,530,440,580,,,,,,
2336,1375872,2016,Academic Year 2015-2016,Fall 2015,A,College of Agriculture,R,Resident,76,550,530,510,,,,,,
6167,1530224,2016,Academic Year 2015-2016,Fall 2015,S,College of Science,N,Non-Resident,,800,670,670,32,35,34,36,34,27
4623,1493686,2016,Academic Year 2015-2016,Fall 2015,ME,School of Mechanical Engr,R,Resident,,,,,30,30,29,28,29,27
6134,1554246,2016,Academic Year 2015-2016,Fall 2015,HH,College of Health & Human Sci,N,Non-Resident,96,,,,27,31,34,33,31,26
3117,1504377,2016,Academic Year 2015-2016,Fall 2015,PI,Polytechnic Institute,N,Non-Resident,,620,550,580,,,,,,
5933,1548560,2016,Academic Year 2015-2016,Fall 2015,LA,College of Liberal Arts,F,Foreign,,,,,23,33,22,31,26,22
3915,1497613,2016,Academic Year 2015-2016,Fall 2015,EC,School of Elec & Computer Engr,N,Non-Resident,,,,,32,32,32,30,32,29
1434,1474063,2016,Academic Year 2015-2016,Fall 2015,A,College of Agriculture,R,Resident,71,550,460,430,22,27,22,27,25,20
2163,1382143,2016,Academic Year 2015-2016,Fall 2015,LA,College of Liberal Arts,R,Resident,,,,,25,23,27,23,25,25
6696,1500883,2016,Academic Year 2015-2016,Fall 2015,MS,School of Materials Engr,F,Foreign,,700,600,560,,,,,,
3589,1489931,2016,Academic Year 2015-2016,Fall 2015,CH,School of Chemical Engineering,N,Non-Resident,,,,,35,36,31,32,33,31
3985,1462444,2016,Academic Year 2015-2016,Fall 2015,LA,College of Liberal Arts,R,Resident,80,,,,32,23,24,25,26,28
4607,1494053,2016,Academic Year 2015-2016,Fall 2015,AB,School of Agr and Bio Engr,N,Non-Resident,,,,,30,32,30,31,30,29
4937,1468630,2016,Academic Year 2015-2016,Fall 2015,US,Exploratory Studies,R,Resident,,490,420,500,24,23,25,21,22,
826,1460665,2016,Academic Year 2015-2016,Fall 2015,A,College of Agriculture,R,Resident,,540,600,460,22,26,20,24,22,
5292,1504499,2016,Academic Year 2015-2016,Fall 2015,PI,Polytechnic Institute,N,Non-Resident,92,,,,32,35,36,34,34,28
1959,1470270,2016,Academic Year 2015-2016,Fall 2015,A,College of Agriculture,R,Resident,93,500,480,570,23,26,27,24,25,21
3808,1489053,2016,Academic Year 2015-2016,Fall 2015,S,College of Science,N,Non-Resident,,,,,25,27,27,25,25,24
489,1478492,2016,Academic Year 2015-2016,Fall 2015,A,College of Agriculture,N,Non-Resident,90,,,,27,25,23,25,24,26
2512,1460834,2016,Academic Year 2015-2016,Fall 2015,EV,Div of Environ & Ecol Engr,R,Resident,98,730,690,690,28,31,35,24,30,25
5202,1493157,2016,Academic Year 2015-2016,Fall 2015,S,College of Science,R,Resident,95,620,520,500,,,,,,
2331,1389839,2016,Academic Year 2015-2016,Fall 2015,PI,Polytechnic Institute,R,Resident,82,710,550,600,,,,,,
